address,bed_num,name,phone,post_code
昂仁县县城,,昂仁县藏医院,0892-8312159,858500
,,,,
,,,,
昂仁县县城,,昂仁县人民医院,0892-8312160,858500
,,,,
,,,,
西藏日喀则地区白朗县,,白朗县人民医院,08023-8302221,857300
,,,,
,,,,
定结县江嘎中心路01号,,定结县人民医院,0892-8252285,857900
,,,,
,,,,
定日县协格尔镇曲夏村,,定日县人民医院,0892-8262257,858200
,,,,
,,,,
西藏那曲地区岗巴县,,岗巴县人民医院,08023-8232177,857700
,,,,
,,,,
吉隆县县城,,吉隆县人民医院,0892-8282477,858700
,,,,
,,,,
西藏日喀则地区江孜县,,江孜县人民医院,08023-8173508,857400
,,,,
,,,,
西藏日喀则地区康马县,,康马县人民医院,08023-8212267,857500
,,,,
,,,,
拉孜县县城,,拉孜县人民医院,0892-8322130,858100
,,,,
,,,,
西藏日喀则地区南木林县,,南木林县人民医院,08023-8342235,857100
,,,,
,,,,
西藏日喀则地区聂拉木县,,聂拉木县人民医院,08023-8272123,858300
,,,,
,,,,
西藏那曲地区聂拉木县,,聂拉木县樟木口岸医院,08023-8742842,858400
,,,,
,,,,
仁布县强钦街09号,,仁布县人民医院,0892-8182259,857200
,,,,
,,,,
日喀则市上海路3号,,日喀则地区藏医院,0892-8822653;0892-8822858,857000
,,,,
贺兰县北街,,贺兰县妇幼保健所,0951-8061203,750200
,,,,
,,,,
贺兰县金贵镇,,贺兰县金贵人民医院,0951-8894027,750201
,,,,
,,,,
贺兰县立岗镇,,贺兰县立岗区人民医院,0951-8822014,750201
,,,,
,,,,
贺兰县洪广镇,,贺兰县暖泉区人民医院,0951-8991020,750202
,,,,
,,,,
贺兰县西街,,贺兰县人民医院,0951-8061214,750200
,,,,
,,,,
贺兰县东街,,贺兰县中医院,0951-8064480,750200
,,,,
,,,,
灵武市柳树巷,,灵武市妇幼保健所,0951-4021258,751400
,,,,
,,,,
灵武市健康路17号,,灵武市人民医院,0951-4030216;4030228,751400
,,,,
,,,,
宁夏灵武市城,,灵武市中医医院,0951-4021257,751400
,,,,
,,,,
宁夏灵武市区谢家井11号,,灵武市中医院,0951-4030983,751400
,,,,
,,,,
银川市南门汽车站,,银川博爱医院(民营),0951-3990000(总),750004
,,,,
,,,,
宁夏银川市满和北街782号,,银川凤城医院(民营),0951-6717797,750004
,,,,
,,,,
银川市城区民乐西街8号,,银川国龙医院(民营),0951-4109690,750004
,,,,
,,,,
银川市中山北街307号,,银川国龙医院二分院(民营),0951-6726640;6729269,750002
,,,,
,,,,
银川市金凤区政府向南300米处,,银川国龙医院一分院银川金凤区医院(民营),0951-5036167,750011
,,,,
海南省海口市海甸岛沿江三西路13号,,海南大学医院,0898-66259191,570208
,,,,
,,,,
海口市国贸路国贸大厦C座A栋,,海南东湖中西医结合整形美容医院(民营),0898-66743484,570125
,,,,
,,,,
海口市人民大道74号八菱大厦1-3层,,海南港岛联合中医肿瘤医院(民营),0898-66259455,570300
,,,,
,,,,
海南省海口市滨海大道填海区,,海南骨科医院,0898-68539299,570105
,,,,
,,,,
海口市人民大道,,海南美容整形医院,0898-66264688,570300
,,,,
,,,,
海口市人民大道,,海南美容整形医院(民营),0898-66264688,570208
,,,,
,,,,
海南省海口市琼山区琼州大道9号,,海南南方肝肠病医院(民营),0898-66288019,571100
,,,,
,,,,
海口市,,海南南方肛肠病医院,0898-65885733,570300
,,,,
,,,,
海口市龙昆南路工业大道东10号,,海南省安宁医院,0898-66988629,570206
,,,,
,,,,
海口市南航路24号,,海南省地质医院,,570206
,,,,
,,,,
五指山市爱民路24号,,海南省第二人民医院,0898-86622337;0898-86624104,572200
,,,,
,,,,
海南省三亚市解放四路146号,,海南省第三人民医院,0898-88292888,572000
,,,,
,,,,
三亚市解放四路146号,,海南省第三人民医院(原海南省农垦三亚医院),0898-88298115、88298958,572000
,,,,
,,,,
海口市龙昆南路15号,,海南省妇幼保健院,0898-66789460;66755204,570206
,,,,
,,,,
海口市秀英区海口港,,海南省港务局海港医院,0898-68623822,570011
,,,,
青海省西宁市大通县桥头镇八一路1号,,大通红十字医院,0971-2813461,810101
,,,,
,,,,
青海省西宁市大通县,,大通回族土族自治县第二人民医院,0971-2831059,810102
,,,,
,,,,
青海省西宁市大通县桥头镇文化路l号,,大通回族土族自治县人民医院,0971-2722933,810100
,,,,
,,,,
大通回族土族自治县,,大通县第二人民医院,0971-2831136,810102
,,,,
,,,,
大通县桥头镇文化路1号,,大通县第一人民医院,0971-2722933,810100
,,,,
,,,,
湟源县西大街35号,,湟源县人民医院,0972-2432791,812100
,,,,
,,,,
青海省湟源县东大街,,湟源县中医院,0972-2432946,812100
,,,,
,,,,
青海省西宁市湟中县鲁沙尔镇佛光路,,湟中县藏医院,0971-2235209,811600
,,,,
,,,,
青海省湟中县南街39号,,湟中县第二人民医院,0972-2297370,811601
,,,,
,,,,
湟中县和平路137号,,湟中县第一人民医院,0972-2232305,811600
,,,,
,,,,
青海省西宁市湟中县鲁沙尔镇团结北路2号,,湟中县妇幼保健中心,0971-2232125,811600
,,,,
,,,,
湟中县团结南部睡43号,,湟中县中医院,0972-2232460,811600
,,,,
,,,,
西宁市柴达木路52号,,西宁钢厂职工医院,0971-5299539;5299946,810005
,,,,
,,,,
西宁市城北区祁连路西87号,,西宁市城北区中医院,0971-6146418,810003
,,,,
,,,,
西宁市西大街6号,,西宁市城西区人民医院,0971-6143143,810007
,,,,
和平区东兴大街120号,,和平区安定医院,022-27225387,300021
,,,,
,,,,
和平区赤封道73号,,和平区妇产医院,022-27129478、27119227,300041
,,,,
,,,,
和平区土场路33号,,和平区南营门医院,022-27301363、27821363,300052
,,,,
,,,,
和平区河南路36号,,和平区四面钟医院,022-27314978,300021
,,,,
,,,,
和平区平东道29号,,和平区天津市心理卫生专科医院,022-27300132、27227891,300020
,,,,
,,,,
和平区建设路41号,,和平区小白楼医院,022-23393814,300040
,,,,
,,,,
和平区吴家窑二号路31号,,和平区新兴医院,022-23354693,300070
,,,,
,,,,
和平区辽北路15号,,和平区兴安医院,022-27225608,300021
,,,,
,,,,
和平区福安街1号,,和平区牙科医院,022-27222863,300021
,,,,
,,,,
和平区贵州路43号,,和平区中医院,022-23317955、23317931,300050
,,,,
,,,,
和平区,,和平医院,022-27123410,300020
,,,,
,,,,
和平区,,滨水地段医院,022-23382374,300050
,,,,
,,,,
和平区,,南门医院,022-27273488,300021
,,,,
,,,,
和平区,,上河头医院,022-26951908,300020
,,,,
,,,,
天津市和平区四平车道25号,,天津博爱眼科中心,022-27304105;27300537,300020
,,,,
贵阳市黔灵西路99号,,贵阳爱丽医院(民营),0851-6850726,550001
,,,,
,,,,
贵阳市合群路124号,,贵阳白志祥骨科医院(民营),0851-6824379,550001
,,,,
,,,,
贵州省贵阳市中华中路137号华联酒店后楼,,贵阳长江医院(民营),0851-5814836;0851-5114936,550002
,,,,
,,,,
贵阳市瑞金中路61号,,贵阳朝歌肾病医院(民营),0851-5611466,550003
,,,,
,,,,
贵阳市新添大道南段220号,,贵阳东方骨伤医院(民营),0851-6766960,550004
,,,,
,,,,
贵阳市汪家湾64号,,贵阳肝病医院(民营),0851-6839759,550001
,,,,
,,,,
贵阳市螺丝山路8号,,贵阳肛肠杂病医院(民营),0851-5921030,550002
,,,,
,,,,
贵州省贵阳市油榨街38号,,贵阳钢厂职工医院贵阳烧伤医院,0851-5595605;5532931,550005
,,,,
,,,,
贵阳市富水中路5号,,贵阳恒康医院(民营),0851-5880883,550001
,,,,
,,,,
贵阳市南明区小河镇长江路1号,,贵阳华烽电器总厂职工医院,0851-3833195,550009
,,,,
,,,,
贵阳市瑞金中路65号,,贵阳华明优视眼科医院(民营),0851-8100288;8100388,550000
,,,,
,,,,
贵阳市延安西路91号,,贵阳华西医院(民营),0851-6580761,550003
,,,,
,,,,
贵阳市区飞山街,,贵阳济世医院(民营),0851-5283555,550003
,,,,
,,,,
贵阳南明区沙冲路25号,,贵阳颈腰痛专科医院,0851-5793150,550002
,,,,
,,,,
贵阳市花溪区,,贵阳矿山机械厂职工医院,0851-3843261,550003
,,,,
皋兰县北辰路50号,,皋兰县人民医院,0931-5722567,730200
,,,,
,,,,
兰州市七里河区彭家坪中心坪5号,,兰州安定医院,0931-2861419,730050
,,,,
,,,,
甘肃省兰州市红古区窑街镇后街75号,,兰州白求恩医院(民营),,730080
,,,,
,,,,
甘肃省兰州市城关区鹰滩滩尖子268号,,兰州慈佛堂医院(民营),0931-8509606,730000
,,,,
,,,,
兰州市城关区滩尖子268号,,兰州慈和堂医院(民营),0931-8510022、8509610,730000
,,,,
,,,,
兰州市城关区萃英门80号,,兰州大学第二医院,0931-8942279;0931-8942114;0931-8458109,730030
,,,,
